year,doc_id,title,keyword,tfidf,cluster
2017,0,The VEGFA gene and anterior cruciate ligament rupture risk in the Caucasian population,functional movement,0.23485040960482934,2
2017,0,The VEGFA gene and anterior cruciate ligament rupture risk in the Caucasian population,movement,0.23292387041204324,5
2017,0,The VEGFA gene and anterior cruciate ligament rupture risk in the Caucasian population,head impact,0.20703413486518454,5
2017,0,The VEGFA gene and anterior cruciate ligament rupture risk in the Caucasian population,head,0.20134472129991643,5
2017,0,The VEGFA gene and anterior cruciate ligament rupture risk in the Caucasian population,impact,0.17257788575393462,5
2017,1,The relationship between ACTN3 R577X gene polymorphism and physical performance in amateur soccer players and sedentary individuals,tp,0.3106453307110335,5
2017,1,The relationship between ACTN3 R577X gene polymorphism and physical performance in amateur soccer players and sedentary individuals,loads,0.173035156279723,5
2017,1,The relationship between ACTN3 R577X gene polymorphism and physical performance in amateur soccer players and sedentary individuals,maximal,0.1714180832728488,5
2017,1,The relationship between ACTN3 R577X gene polymorphism and physical performance in amateur soccer players and sedentary individuals,power,0.1714180832728488,5
2017,1,The relationship between ACTN3 R577X gene polymorphism and physical performance in amateur soccer players and sedentary individuals,velocity power,0.1624664459692354,1
2017,2,Reliability and validity of field‐based fitness tests in youth soccer players,rpe,0.3028482345409934,5
2017,2,Reliability and validity of field‐based fitness tests in youth soccer players,machine learning,0.2692347589794109,5
2017,2,Reliability and validity of field‐based fitness tests in youth soccer players,machine,0.23320582261322276,5
2017,2,Reliability and validity of field‐based fitness tests in youth soccer players,models,0.212694010646415,5
2017,2,Reliability and validity of field‐based fitness tests in youth soccer players,learning,0.2109871624017658,5
2017,3,A mathematical model for decision-making in the classification of para-footballers with different severity of coordination impairments,tmg,0.22685747064320305,5
2017,3,A mathematical model for decision-making in the classification of para-footballers with different severity of coordination impairments,asymmetry,0.17601360889108122,5
2017,3,A mathematical model for decision-making in the classification of para-footballers with different severity of coordination impairments,sj,0.17601360889108122,5
2017,3,A mathematical model for decision-making in the classification of para-footballers with different severity of coordination impairments,asymmetries,0.17105172143319594,5
2017,3,A mathematical model for decision-making in the classification of para-footballers with different severity of coordination impairments,jump,0.16073564398670945,5
2017,4,Postural Control Deficits After Repetitive Soccer Heading,stress,0.30666208634331965,4
2017,4,Postural Control Deficits After Repetitive Soccer Heading,person,0.2434347208196056,5
2017,4,Postural Control Deficits After Repetitive Soccer Heading,symptoms,0.17883500004281075,5
2017,4,Postural Control Deficits After Repetitive Soccer Heading,month,0.16663820736773677,5
2017,4,Postural Control Deficits After Repetitive Soccer Heading,during subsequent,0.14318257349201233,3
2017,5,Comparative Analysis of Load Profile between Small-Sided Games and Official Matches in Youth Soccer Players,surfaces,0.2924067741917744,3
2017,5,Comparative Analysis of Load Profile between Small-Sided Games and Official Matches in Youth Soccer Players,responses,0.22133571477674321,5
2017,5,Comparative Analysis of Load Profile between Small-Sided Games and Official Matches in Youth Soccer Players,mechanical properties,0.2179753551132821,2
2017,5,Comparative Analysis of Load Profile between Small-Sided Games and Official Matches in Youth Soccer Players,ng,0.1964727363742716,5
2017,5,Comparative Analysis of Load Profile between Small-Sided Games and Official Matches in Youth Soccer Players,properties,0.1804071606163854,1
2017,6,Comparison of Change of Direction Speed Performance and Asymmetries between Team-Sport Athletes: Application of Change of Direction Deficit,test,0.30757739377272825,5
2017,6,Comparison of Change of Direction Speed Performance and Asymmetries between Team-Sport Athletes: Application of Change of Direction Deficit,group test,0.2714949986203233,5
2017,6,Comparison of Change of Direction Speed Performance and Asymmetries between Team-Sport Athletes: Application of Change of Direction Deficit,model,0.2228608517796441,5
2017,6,Comparison of Change of Direction Speed Performance and Asymmetries between Team-Sport Athletes: Application of Change of Direction Deficit,drill,0.2215341115696534,5
2017,6,Comparison of Change of Direction Speed Performance and Asymmetries between Team-Sport Athletes: Application of Change of Direction Deficit,play training,0.17303809643002072,5
2017,7,Data-Driven Visual Performance Analysis in Soccer: An Exploratory Prototype,preadolescent,0.32551407104026564,5
2017,7,Data-Driven Visual Performance Analysis in Soccer: An Exploratory Prototype,adolescent,0.23412586693049398,5
2017,7,Data-Driven Visual Performance Analysis in Soccer: An Exploratory Prototype,adolescent athletes,0.2079610228134501,5
2017,7,Data-Driven Visual Performance Analysis in Soccer: An Exploratory Prototype,athletes,0.18455400986145387,5
2017,7,Data-Driven Visual Performance Analysis in Soccer: An Exploratory Prototype,preadolescent athletes,0.17403888372658105,5
2017,8,Football concussion case series using biomechanical and video analysis,features,0.24812203157019388,4
2017,8,Football concussion case series using biomechanical and video analysis,detection,0.24400449231424026,5
2017,8,Football concussion case series using biomechanical and video analysis,classifier,0.23220487870810214,5
2017,8,Football concussion case series using biomechanical and video analysis,head,0.22065582072246662,5
2017,8,Football concussion case series using biomechanical and video analysis,impact,0.18912993980537163,5
2017,9,Head impact burden and change in neurocognitive function over 2 seasons of youth football participation,of learning,0.34434965270831064,5
2017,9,Head impact burden and change in neurocognitive function over 2 seasons of youth football participation,content,0.3311586831777707,5
2017,9,Head impact burden and change in neurocognitive function over 2 seasons of youth football participation,learning,0.3288657836658467,5
2017,9,Head impact burden and change in neurocognitive function over 2 seasons of youth football participation,coaches,0.26911235943637696,5
2017,9,Head impact burden and change in neurocognitive function over 2 seasons of youth football participation,content of,0.25397103315474107,5
