cluster,title,tfidf
0,Strength-Endurance Training Reduces the Hamstrings Strength Decline Following Simulated Football Competition in Female Players,0.35193307192632856
0,Effects on intracranial cerebral blood flow by history of concussion,0.15998979181002182
1,In-Season Variations in Head Impact Exposure among Youth Football Players,1.7752666106277555
1,IMPROVEMENT OF LONG SHOTS ON GOAL IN AN ELITE FOOTBALL TEAM,1.5900218902016245
1,Knee Biomechanics in Division III Female Soccer Players with Reconstructed Anterior Cruciate Ligament (ACLR),1.5675517565732613
1,Outcome after Combined Lateral Extra-articular Tenodesis and Anterior Cruciate Ligament Revision in Professional Soccer Players,1.55001776057226
1,History of undiagnosed concussion is associated with concussion-like symptoms following subconcussive head impacts,1.4433776945313956
1,Biomechanical Simulation of Different Postures Obtained from Three Sport Branches,1.4293088611772904
1,Association between trunk pain and lower extremity pain among youth soccer players: a cross-sectional study,1.4174696713072457
1,Using the Disclosure Decision-Making Model to Understand High School Football Players’ Disclosures of Concussion Symptoms,1.4014545068995856
1,Comparative Effects of Tensioning and Sliding Neural Mobilization on Static Postural Control and Lower Limb Hop Testing in Football Players,1.3956283083469343
1,Effects of Lumbar Spine Position on Hamstring Flexibility During Passive Straight Leg Raise,1.3839134647650244
2,Detection of Persisting Concussion Effects on Neuromechanical Responsiveness,0.7576281810648438
2,Study of the measurement and predictive validity of the Functional Movement Screen,0.6318688563606762
2,Football concussion case series using biomechanical and video analysis,0.5847120153788808
2,Biomechanical Evaluation Of Landing Maneuvers In Soccer Players With An Anterior Cruciate Ligament Reconstruction,0.5743249780364924
2,"The relationship between jumping performance, isokinetic strength and dynamic postural control in elite youth soccer players",0.5454171800088161
2,Enhanced Body Composition and Physical Fitness in Prepubescent Soccer Players,0.4531120343412719
2,Small sided games in soccer – a systematic review,0.4353352153147322
2,Work-Related Injury and Management Strategies Among Certified Athletic Trainers,0.4211161133710409
2,Efficacy of Injury Prevention Training Is Greater for High-Risk vs Low-Risk Elite Female Youth Soccer Players,0.37739320704461077
2,Inertial Sensors are a Valid Tool to Detect and Consistently Quantify Jumping,0.35993323248827713
3,"The “Football is Medicine” platform—scientific evidence, large‐scale implementation of evidence‐based concepts and future perspectives",1.3334540849910899
3,The Effects of a Compression Garment on Lower Body Kinematics and Kinetics During a Drop Vertical Jump in Female Collegiate Athletes,0.9018048977057285
3,"The role of anthropometric, growth and maturity index (AGaMI) influencing youth soccer relative performance",0.6384778475803508
3,Evaluation of Intrinsic Biomechanical Risk Factors in Patellar Tendinopathy: A Retrospective Radiographic Case-Control Series,0.4655757160822122
3,Knee and Hip Extension Responses to Prolonged Simulated Soccer Match-Play: a 2D Study,0.4525655965486889
3,Empirical Based Modeling for the Assessment of Dynamic Knee Stability: Implications for Anterior Cruciate Ligament Injury Risk,0.416759844456844
3,Restrictions in the Ankle Sagittal- and Frontal-Plane Range of Movement during Simulated Walking with Different Types of Orthoses,0.28811697593416297
3,Assessment of Perceptual-Cognitive Abilities among Athletes in Virtual Environments,0.27473800781591107
3,Could recreational soccer players recover single-leg heel raise performance 12-weeks after Achilles tenorrhaphy through immediate rehabilitation?,0.2737738555998354
3,Head impact burden and change in neurocognitive function over 2 seasons of youth football participation,0.23887582182755365
4,Interlimb Asymmetries Identified Using the Rate of Torque Development in Ballistic Contraction Targeting Submaximal Torques,0.8772043249046362
4,A previous hamstring injury affects kicking mechanics in soccer players,0.8731652709343942
4,The impact of video speed on the decision-making process of sports officials,0.7044510071247034
4,Effects of Different Footwear Properties and Surface Instability on Neuromuscular Activity and Kinematics During Jumping,0.6982143514723417
4,Pelvic Pain In A Soccer Player- Soccer,0.680437097899393
4,A biomechanical comparison of dominant and non-dominant limbs during a side-step cutting task,0.6485658670967565
4,Validation of a Modified Functional Movement Screen Test for Division III Female Soccer Players,0.6467867221972534
4,Video Analysis of Reported Concussion Events in the National Football League During the 2015-2016 and 2016-2017 Seasons,0.5944500610257248
4,Concussion in sport: the importance of accurate and reliable discharge advice,0.5897956972197387
4,Modified exorotation graft tension for tibial fixation in anterior cruciate ligament reconstruction: a randomized controlled trial,0.5771602501584128
5,Prior Knowledge of the Grading Criteria Increases Functional Movement Screen Scores in Youth Soccer Players,0.7387422614236111
5,Lumbar stabilisation exercises versus back endurance-resistance exercise training in athletes with chronic low back pain: protocol of a randomised controlled trial,0.6215061753568997
5,Ankle perturbation generates bilateral alteration of knee muscle onset times after unilateral anterior cruciate ligament reconstruction,0.48656440023424696
5,2 Mental wellbeing in elite male under 23 soccer players: a team case study,0.46173202554829323
5,Scaling isometric mid-thigh pull maximum strength in division I Athletes: are we meeting the assumptions?,0.45597705169193703
5,Could recreational soccer players recover single-leg heel raise performance 12-weeks after Achilles tenorrhaphy through immediate rehabilitation?,0.4524696591114419
5,Modeling of ACL Injury Mechanism,0.4481999300186043
5,A football helmet prototype that reduces linear and rotational acceleration with the addition of an outer shell,0.4429823311875437
5,Inter-individual Variability in Responses to 7 Weeks of Plyometric Jump Training in Male Youth Soccer Players,0.4335114415948894
5,Impact of Official Matches on Soccer Referees’ Power Performance,0.4078748228528268
6,Influence of Maximal Running Shoes on Biomechanics Before and After a 5K Run,0.609439240136463
6,Inertial Sensors are a Valid Tool to Detect and Consistently Quantify Jumping,0.5453929810017357
6,A Phase Variable Approach to Volitional Control of Powered Knee-Ankle Prostheses,0.5282695623959353
6,Reliability and validity of field‐based fitness tests in youth soccer players,0.5065624683978703
6,"Brain Motion, Deformation, and Potential Injury During Soccer Heading",0.4607467271622704
6,A novel Cervical Spine Protection device for reducing neck injuries in contact sports: design concepts and preliminary <i>in vivo</i> testing,0.454320779560735
6,Gait Mechanics After ACL Reconstruction Differ According to Medial Meniscal Treatment,0.4176593321004165
6,Head impact analysis in elite football (soccer),0.3723565103621353
6,Knee and Hip Extension Responses to Prolonged Simulated Soccer Match-Play: a 2D Study,0.36107574163231626
6,Validation of a Modified Functional Movement Screen Test for Division III Female Soccer Players,0.26032449789964485
