year,doc_id,title,keyword,tfidf,cluster
2021,0,Groin Injuries in Soccer: Investigating the Effect of Age on Adductor Muscle Forces,las,0.3355386552539147,4
2021,0,Groin Injuries in Soccer: Investigating the Effect of Age on Adductor Muscle Forces,rehabilitation,0.1570127970045951,0
2021,0,Groin Injuries in Soccer: Investigating the Effect of Age on Adductor Muscle Forces,scoping,0.15500211888444423,5
2021,0,Groin Injuries in Soccer: Investigating the Effect of Age on Adductor Muscle Forces,to sport,0.1542638917209546,5
2021,0,Groin Injuries in Soccer: Investigating the Effect of Age on Adductor Muscle Forces,randomized controlled,0.1398006797133395,5
2021,1,FUTBOLCULARDA 8 HAFTALIK STATİK GERME ANTRENMANLARININ SIÇRAMA PERFORMANSINA ETKİLERİ,plantarflexion moment,0.16458017583754572,5
2021,1,FUTBOLCULARDA 8 HAFTALIK STATİK GERME ANTRENMANLARININ SIÇRAMA PERFORMANSINA ETKİLERİ,ankle dorsi,0.15749973011337612,5
2021,1,FUTBOLCULARDA 8 HAFTALIK STATİK GERME ANTRENMANLARININ SIÇRAMA PERFORMANSINA ETKİLERİ,dorsi,0.15749973011337612,5
2021,1,FUTBOLCULARDA 8 HAFTALIK STATİK GERME ANTRENMANLARININ SIÇRAMA PERFORMANSINA ETKİLERİ,even though,0.15200770973715497,5
2021,1,FUTBOLCULARDA 8 HAFTALIK STATİK GERME ANTRENMANLARININ SIÇRAMA PERFORMANSINA ETKİLERİ,video cameras,0.15200770973715497,5
2021,2,Ventilatory responses to aerobic endurance fitness and running economy in footballers; are there any differences between players’ positions,cv,0.24949662905979422,5
2021,2,Ventilatory responses to aerobic endurance fitness and running economy in footballers; are there any differences between players’ positions,hamstring strength,0.24515966799682193,5
2021,2,Ventilatory responses to aerobic endurance fitness and running economy in footballers; are there any differences between players’ positions,icc ci,0.23295296145483227,5
2021,2,Ventilatory responses to aerobic endurance fitness and running economy in footballers; are there any differences between players’ positions,icc,0.2227501903871525,5
2021,2,Ventilatory responses to aerobic endurance fitness and running economy in footballers; are there any differences between players’ positions,hamstring,0.20630924224491748,5
2021,3,Biomechanical Determinants of the Modified and Traditional 505 Change of Direction Speed Test,less,0.2965656458189484,5
2021,3,Biomechanical Determinants of the Modified and Traditional 505 Change of Direction Speed Test,eyes,0.20915566433618818,5
