id,title,date,year,type,abstract
https://openalex.org/W2997687173,Groin Injuries in Soccer: Investigating the Effect of Age on Adductor Muscle Forces,2019-12-31,2019,article,"ABSTRACT Purpose The sudden rise in the injury incidence during adolescence is also evident in soccer-related injuries to the groin. Submaximal passing applies high stress on the adductor muscles and pubic symphysis and is therefore likely to be connected to the occurrence of groin injuries. Therefore, the purpose of the study was to compare hip joint kinematics and adductor muscle forces of different adolescent age groups during submaximal soccer passing. Methods Sixty participants, in four groups, younger than 12, 15, 16. and 23 yr (U12, U15, U16, U23), were analyzed. A Footbonaut, equipped with a 3D motion capture system consisting of 16 cameras, was used to capture kinematic data of short passes. Inverse dynamic analysis was performed to calculate muscle forces of 10 passes of each subject. Results The U15 group showed reduced angular velocities. A rise in hip adductor muscle forces was evident from the youngest group up to the oldest groups. The largest increase (49%) was found between U12 and U15. Lower-limb mass was identified as the best predictor for the increasing adductor force. Conclusions The reduced angular velocities of the U15 and the increase in muscle forces between all age groups were attributed to the increasing segment masses and length. This increases the moments of inertia of the leg segments thereby demanding higher forces to accelerate the segments. Most likely, the stress put upon the adductors apophyses increases during adolescence, as tendons are known to adapt slower than muscles, increasing the risk for overuse injuries. Coaches could use lower-limb mass as an indicator for fast increases in the force demand to identify players who would benefit from a reduced training volume."
https://openalex.org/W2998466307,Effects of complex movements on the brain as a result of increased decision-making,2019-12-31,2019,article,"Non-linearity is considered to be an essential property of complex systems. The associated high sensitivity of the result on the constraints leads to fundamental problems of a system description based on variables selected in the reductionist tradition. The attempt to compensate the problems by averaging data leads to the neglect of the individual and the moment. However, both is of enormous importance for effective therapy, training, and learning. The theory of differential learning suggests an alternative approach to dealing with these problems. With constantly changing complex whole-body movements, extensive decisions are demanded from the learner, which lead to brain states through an overstraining of the working memory, as it were, as they are also known after mindfulness meditation."
https://openalex.org/W3047301507,The Body as a Machine in the Works of Soviet Artists of the 1920s and 30s,2019-12-31,2019,article,"The article discusses the work of artists active in the 1920s and 1930s in Russia, 2 the form and content of which links them with the idea of man-machine, which grew in popularity in the age of heightened industrial development and system changes in the 20 th century.The article seeks to present the influence of official guidelines (including cultural and educational policies) and technological change on imagery, and, essentially, to point up the relationship between politics and the form and content of the art.An overview of artists working notably in Russia focuses on that period of their oeuvre that drew overtly on new solutions in visual arts.These artists are less known in Poland nowadays as they were either artistically enmeshed in Socialist Realism down the line or had a role in sanctioning it.The paper further dwells on the relationship between the avant-garde, modern art and engaged art at the early stages of forming the new political system.It also discusses problems such as: changes in art prompted by new ways of artistic practice; artist's mutual inspirations; the application of imagery types that had formed earlier (especially when artistic activity had its footing in similar objectives); exemplifications of artists frequently drawing on the artistic traditions of their native country without shunning references to landmark works."
https://openalex.org/W2997570731,Motor speech and motor limb status in athletes following a concussion,2019-12-30,2019,article,"Purpose There is limited research on the effects of an acute concussion on motor speech production in student-athletes. This study investigated the effects of a concussion on (1) speech alternating motion rates and (2) finger repetition task. Methods Eighteen individuals with a concussion and 18 individuals in a healthy comparison (HC) group, matched for age and years of education served as participants. Oral diadochokinetic sequential motion rates (SMR) and alternating motion rates (AMR) were measured using Kay Elemetrics Computerized Speech Lab, model 4500. A finger repetition task was also evaluated. Results Independent-samples t-tests revealed statistically significant differences in mean syllable repetition rate between groups: SMRs (p<0.001), AMR /puh/ (p<0.001), AMR /tuh/ (p<0.001), and AMR /kuh/ (p<0.001). Also, a statistically significant difference was found for the finger repetition task (p<0.05). Conclusions Participants with a concussion produced SMR and AMR speech-like tasks and finger repetition tasks significantly slower than a matched healthy control group. Keywords: Motor speech; Concussion; AMR"
https://openalex.org/W2999667833,FUTBOLCULARDA 8 HAFTALIK STATİK GERME ANTRENMANLARININ SIÇRAMA PERFORMANSINA ETKİLERİ,2019-12-30,2019,article,"The aim of this study was to investigate the effects of eight weeks static stretching traning on jumping. 18 male amateur soccer players (age:21,78±4,25 year; height: 180,11±6,38 cm; weight: 76,19±7,73) were voluntarily participated to study. Subjects were randomly diverted into two groups as stretching (n=10) and control (n=8). Flexibility, horizontal jump distance and vertical jump length were determined using Sit and Reach Test, Standing Long Jump Test and Countermovement Jump technique respectively. Following pre test, stretching group performed static stretching programme three days a week for eight weeks which consisting of ten static stretches that were designed to improve subjects flexibility and include jumping muscles. Following eight weeks static stretching programme, similar measurements were completed. In order to analyze gathering datas, Paired t test was used for determination of intragroups differences and İndependent t test was used for determination of intergroups differences.(p<0.05) There were statistically significant differences between pre and post test flexibiliy measurements (30,60±4,78; 33,90±3,14 cm) and horizontal jump distance (206,38±19,93; 210,25±19,47 cm ) for stretching groups (p<0,05). Yet, there were no statistical differences between groups comparison (p>0,05) To conclude, performed long-term stretching programmes could effect positively on jumping in amateur soccer players. However this study couldnt explore the underlying mechanism of how this effect occured. Future researches about long-term static stretching effects on maximal muscular performances will warranted to illustrate exact physiologicals and metabolics mechanism for those effects."
https://openalex.org/W4250116631,Disordered Eating in Collegiate Athletes,2019-12-30,2019,dissertation,"Performance pressures and emphasis on body weight and shape put collegiate athletes at risk for disordered eating. If not identified early, disordered eating behaviors could develop into a clinical eating disorder. While such behaviors are a known problem, prevalence rates are not well established in collegiate athletes. Disordered eating may also relate to physiological changes in athletes, such as body composition and performance, although this relationship is not well understood. The aims of this research were to 1) determine the prevalence of disordered eating risk in NCAA Division I student-athletes and 2) determine if such behaviors are related to baseline and changes in body composition over a competitive season. Athletes (n=58) competing in eight different sports (football, men’s and women’s soccer, women’s basketball, gymnastics, men’s and women’s track and field, and women’s diving), from an urban university, completed the Eating Attitudes Test (EAT-26) questionnaire and two dual-energy X-ray absorptiometry (DXA) body composition scans, one at preseason and another at postseason. While no risk for disordered eating was found in this sample, visceral adipose tissue (VAT) was positively correlated with EAT-26 scores (r=0.661, p=0.038) among female gymnasts. Reasons for these findings are unclear; however, it is thought that the ethnic diversity of the sample played a role in the absence of disordered eating risk in this study. Further research is needed to better understand if ethnicity plays a role in disordered eating risk."
https://openalex.org/W3004918562,Ultrasound elastography as a potential method to evaluate entrapment neuropathies in elite athletes: a mini-review,2019-12-28,2019,review,"Entrapment neuropathies constitute a significant albeit still neglected problem in athletes. Currently available diagnostic options in patients with suspected neuropathies, nerve conduction studies, and magnetic resonance imaging have some drawbacks, mostly related to their invasive character, high cost, and limited availability. This paper reviews published articles documenting the use of ultrasound elastography, a novel technique to determine tissue strain, in the evaluation of nerve stiffness in entrapment neuropathy, and it discusses potential pros and cons of this method in the examination of elite athletes. Based on the review of literature, ultrasound elastography – especially shear wave elastography – seems suitable for the evaluation of entrapment neuropathies in elite athletes. Published evidence from the general population suggests that most common entrapment neuropathies (carpal tunnel syndrome, ulnar neuropathy of the elbow, ulnar tunnel syndrome) are associated with a significant increase in the stiffness of affected nerves, which can be accurately detected with ultrasound elastography. Before adding ultrasound elastography to the armamentarium of diagnostic tests used routinely in athletes, its accuracy in the detection of entrapment neuropathies needs to be verified in this specific group, and the reference values for peripheral nerve strain in sportspersons need to be determined."
https://openalex.org/W2997544299,Functional Brain Plasticity Associated with ACL Injury: A Scoping Review of Current Evidence,2019-12-27,2019,review,"Anterior cruciate ligament (ACL) injury is a common problem with consequences ranging from chronic joint instability to early development of osteoarthritis. Recent studies suggest that changes in brain activity (i.e., functional neuroplasticity) may be related to ACL injury. The purpose of this article is to summarize the available evidence of functional brain plasticity after an ACL injury. A scoping review was conducted following the guidelines of the Joanna Briggs Institute and the Preferred Reporting Items for Systematic Reviews and Meta-Analyses. The terms “brain,” “activity,” “neuroplasticity,” “ACL,” “injury,” and “reconstruction” were used in an electronic search of articles in PubMed, PEDro, CINAHL, and SPORTDiscus databases. Eligible studies included the following criteria: (a) population with ACL injury, (b) a measure of brain activity, and (c) a comparison to the ACL-injured limb (contralateral leg or healthy controls). The search yielded 184 articles from which 24 were included in this review. The effect size of differences in brain activity ranged from small (0.05, ACL-injured vs. noninjured limbs) to large (4.07, ACL-injured vs. healthy control). Moreover, heterogeneity was observed in the methods used to measure brain activity and in the characteristics of the participants included. In conclusion, the evidence summarized in this scoping review supports the notion of functional neuroplastic changes in people with ACL injury. The techniques used to measure brain activity and the presence of possible confounders, as identified and reported in this review, should be considered in future research to increase the level of evidence for functional neuroplasticity following ACL injury."
https://openalex.org/W2997630109,Risk accepters and problem solvers: managing risk in the masters Highland Games,2019-12-27,2019,article,"Narratives of ageing are often negative, focussing on later life as a period defined by biological decline. A growing population of older adults (Masters athletes) participating in sport challenge these assumptions. Existing research demonstrates how Masters athletes transcend and challenge dominant discourses of ageing and resist enfeeblement. To do so requires a negotiation with risk, pain and injury. Examining these processes in younger athletes developed within the sociology of sport during the 1990s. This literature explored risk-taking sub-cultures across different sports and between genders. Yet an analysis of how older athletes manage risk has hitherto not taken place. In order to expand this corpus of work to Masters athletes, this article provides a case study of the Masters Highland Games. Drawing upon in-depth interviews with 19 athletes aged between 40 and 75, two ideal types that describe approaches to risk taking are proposed. Informed by the ideas of Giddens, these ideal types will demonstrate the variety of ways that resistance relates to risk, pain and injury. This case study demonstrates that some Masters athletes share traits identified in research with younger athletes, such as the acceptance of their practice being inherently risky and the act of normalising pain. However, most Masters athletes exhibit a more problem solving approach that adopts various strategies that manage the risks of ageing."
https://openalex.org/W4320165044,Ventilatory responses to aerobic endurance fitness and running economy in footballers; are there any differences between players’ positions,2019-12-21,2019,article,"Running economy is one of the factors contributing running performance. The athlete who use oxygen more economically is more successful. Currently, there is no research on this topic in Azerbaijan. Azerbaijani athletes have not been investigated on running economy before, so this will be the first research in this field in the country. By the end of this research more economical position on the pitch and comparison National Football Players with elite athletes has been identified."
