_doc_id,_title,_year,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,dominant_topic
455,Evidence for Rehabilitation Interventions After Acute Lateral Ankle Sprains in Athletes: A Scoping Review,2021,0.0008495822853731767,0.17454093044852814,0.0008489366146178574,0.8220684477602427,0.0008464969790249238,0.0008456059122131575,3
456,Reliability and Repeatability of ACL Quick Check®: A Methodology for on Field Lower Limb Joint Kinematics and Kinetics Assessment in Sport Applications,2021,0.001412653783029391,0.47132609408240117,0.0014098281272516137,0.5230306940139128,0.0014120840492225985,0.001408645944182447,3
457,Reliability of the Hip Extension Lower Exercise as a Measure of Eccentric Hamstring Strength,2021,0.2585885984644979,0.7374851281989023,0.0009785436247353799,0.0009870337108599922,0.000980546141719405,0.0009801498592850939,1
458,Examining the Relationship Between a Neuromuscular Control Baseline Battery for Sport-Related Concussion and Anterior Cruciate Ligament Injury Risk,2021,0.001042455122911858,0.3349403471163052,0.0010353336636178487,0.6609129835283217,0.0010339840219990115,0.0010348965468443903,3
459,Effects of plyometric and strength trainings on selected physical fitness variables in Ethiopia youth sport academy female soccer players,2021,0.867705177604172,0.001156652034126478,0.0011549647368074992,0.12767170934357316,0.0011546407722680223,0.0011568555090529227,0
460,Defining Training and Performance Caliber: A Participant Classification Framework,2021,0.0012092433662704999,0.0012084329645145194,0.0012112603390249208,0.0012131708474244956,0.9939533244226639,0.0012045680601014807,4
461,Quantitative Analysis of Performance Recovery in Semi-Professional Football Players after the COVID-19 Forced Rest Period,2021,0.9924456379674176,0.0015112588649991226,0.0015097326036631633,0.0015175208404375332,0.0015080983835714505,0.0015077513399111618,0
462,OPTIMIZATION OF BIOMECHANICS IN THE GAME OF FOOTBALL AT THE AGE OF 10 – 12 YEARS THROUGH COMPUTER TECHNOLOGY,2021,0.0016706821916453146,0.0016657637866716202,0.0016702062643861614,0.0016709544655133155,0.9916625284651385,0.0016598648266451458,4
463,"Epidemiology, etiology, and pathogenesis of tendinopathy among athletes",2021,0.0018563662394832597,0.0018469876645067606,0.9907530502453183,0.0018532045522129037,0.00184612810164396,0.0018442631968347057,2
464,"Predictive Analytic Techniques to Identify Hidden Relationships between Training Load, Fatigue and Muscle Strains in Young Soccer Players",2021,0.11602646813162645,0.001274345016511705,0.001268500872955211,0.8788797652400323,0.001273020065036887,0.0012779006738374429,3
465,Predicting Noncontact Lower Limb Injury Using Lumbar Morphology in Professional Australian Football and Rugby League Players,2021,0.0010230227676197743,0.0010216867859872943,0.0010188251906702258,0.001024703281558003,0.9948883017253572,0.0010234602488075422,4
466,ELİT FUTBOLCULARIN SABAH VE AKŞAM ANTRENMANLARINDAKİ KOŞU PARAMETRELERİNİN KARŞILAŞTIRILMASI,2021,0.9942163533318945,0.0011568646195733788,0.0011558357125294628,0.001161327282944086,0.001154244068508324,0.0011553749845502994,0
467,Fútbol caminando para personas mayores: revisión sistemática,2021,0.0016909453479370038,0.0016901145594224736,0.001698850923916754,0.0017052754365662094,0.9915262764770291,0.001688537255128442,4
468,Training Management of the Elite Adolescent Soccer Player throughout Maturation,2021,0.0018053662089531246,0.0018015527365143399,0.0018018557461424115,0.9909899854921235,0.0018000598083825726,0.0018011800078841576,3
469,Exercise-Based Injury Prevention in High-Level and Professional Athletes: Narrative Review and Proposed Standard Operating Procedure for Future Lockdown-Like Contexts After COVID-19,2021,0.0012408193068668923,0.0012405594276464287,0.0012398771307957823,0.9937978428576857,0.0012426146176115816,0.0012382866593936323,3
