_doc_id,_title,_year,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,dominant_topic
0,The VEGFA gene and anterior cruciate ligament rupture risk in the Caucasian population,2018,0.0013733439702145343,0.0013769818274649525,0.47725171857301907,0.0013747221106162127,0.0013730277566807356,0.5172502057620045,5
1,The relationship between ACTN3 R577X gene polymorphism and physical performance in amateur soccer players and sedentary individuals,2018,0.0015102708188859846,0.0015182946299416896,0.9924404582938039,0.0015126424261876676,0.001511309138379122,0.0015070246928015822,2
2,Reliability and validity of field‐based fitness tests in youth soccer players,2018,0.0010679893831655358,0.9946590531789103,0.0010701514148069903,0.0010683557737939363,0.0010688299651112863,0.0010656202842120352,1
3,A mathematical model for decision-making in the classification of para-footballers with different severity of coordination impairments,2018,0.6333443445323548,0.36101338452022513,0.0014094216620916743,0.001416039049748585,0.0014089976375585632,0.0014078125980212129,0
4,Postural Control Deficits After Repetitive Soccer Heading,2018,0.001065444064086212,0.9946795587425912,0.0010626503198486138,0.0010631150499205788,0.0010641820988119821,0.0010650497247415172,1
5,Comparative Analysis of Load Profile between Small-Sided Games and Official Matches in Youth Soccer Players,2018,0.49873787918349555,0.49589303474660373,0.0013433869541630205,0.0013416718285703937,0.001343584586863913,0.0013404427003035067,0
6,Comparison of Change of Direction Speed Performance and Asymmetries between Team-Sport Athletes: Application of Change of Direction Deficit,2018,0.0010289735877206218,0.9948579093581896,0.0010279505169952159,0.001029597681037361,0.0010270567057995286,0.0010285121502575355,1
7,Data-Driven Visual Performance Analysis in Soccer: An Exploratory Prototype,2018,0.9937417585234141,0.0012548886124130144,0.0012512163776332347,0.0012510551621345174,0.0012520095121534996,0.0012490718122515228,0
8,Football concussion case series using biomechanical and video analysis,2018,0.11502914463230092,0.001036254191366078,0.0010389358497430111,0.0010332409728281424,0.1955169471098639,0.6863454772438979,5
9,Head impact burden and change in neurocognitive function over 2 seasons of youth football participation,2018,0.9946592418176198,0.0010693563500130921,0.0010676698817629008,0.0010665278125552304,0.0010683580579219352,0.0010688460801269051,0
10,History of undiagnosed concussion is associated with concussion-like symptoms following subconcussive head impacts,2018,0.9953801245399092,0.0009249530203046732,0.0009248800269356179,0.0009256132231626099,0.0009218932484366513,0.0009225359412512975,0
