cluster,title,tfidf
0,Limited positive effects on jump-landing technique in girls but not in boys after 8 weeks of injury prevention exercise training in youth football,1.7516371393220813
0,Comparing inertial measurement units and marker‐based biomechanical models during dynamic rotation of the torso,1.5957678995450528
0,The Effects of the FIFA 11+ and 11+ Kids Training on Injury Prevention in Preadolescent Football Players: A Systematic Review,1.5858265311440078
0,"Place, Ecological Dynamics and Football",1.4851429237844676
0,The Effect of Soccer Ball Impulse on Lower Limbs of the Human Body,1.4805426699886293
0,Running patterns and force‐velocity sprinting profiles in elite training young soccer players: A cross‐sectional study,1.4796518160653378
0,Six weeks of multistation program on the knee proprioception and performance of futsal players,1.4757071765157193
0,Rectus femoris intrasubstance tear in a collegiate football kicker and its mechanism,1.4409895415504745
0,The relationship between sprint speed and sprint motion in amputee soccer players,1.4251237268115873
0,The Effect of a Previous Strain Injury on Regional Neuromuscular Activation Within the Rectus Femoris,1.422543885834461
1,Lower Limbs Joint Loading – Case Study,0.7764144735116629
1,"High incidence of hip and knee arthroplasty in former professional, male football players",0.6815439892709044
1,Visual-Spatial Memory Deficits Are Related to Increased Knee Valgus Angle During a Sport-Specific Sidestep Cut,0.6152245760094911
1,"Effect of COL5A1, GDF5, and PPARA Genes on a Movement Screen and Neuromuscular Performance in Adolescent Team Sport Athletes",0.5892872033482612
1,External ankle supports alter running biomechanics: a field-based study using wearable sensors,0.5710487279557004
1,Lower Limb Compression Socks with Biomechanical Concepts,0.5466215077004639
1,Intra- and interrater reliability of subjective assessment of the drop vertical jump and tuck jump in youth athletes,0.5327293415199634
1,Conceptual Design of a Massaging Device to Mitigate Exercise Associated Calf Muscle Cramps,0.517144877266809
1,Measuring biomechanical loads in team sports – from lab to field,0.48415686485316717
1,The challenge to care in a Premier League Football Club,0.4792888046676848
2,"Concussion History, Career Status and Cumulative Years of Football Exposure Influence Concussion Assessment Performance in Elite Football Players",0.7691458520813634
2,Current Approaches to the Use of Artificial Intelligence for Injury Risk Assessment and Performance Prediction in Team Sports: a Systematic Review,0.5323145309375974
2,"Anterior Cruciate Ligament Research Retreat VIII Summary Statement: An Update on Injury Risk Identification and Prevention Across the Anterior Cruciate Ligament Injury Continuum, March 14–16, 2019, Greensboro, NC",0.5062584794651115
2,Effects of Post-Activation Potentiation induced by a plyometric protocol on deceleration performance,0.39332181532081356
2,Anterior Cruciate Ligament Reconstruction in Young Female Athletes: Patellar Versus Hamstring Tendon Autografts,0.35629650663217105
2,Using differential ratings of perceived exertion to assess agreement between coach and player perceptions of soccer training intensity: An exploratory investigation,0.3509271943485267
2,Does the psychological profile influence the position of promising young futsal players?,0.33397692397408796
2,Biomechanical Analysis of Head Impacts during Real Time Soccer Play: a Preliminary Study,0.2193186180643812
2,Pre-Season Bilateral Strength Asymmetries of Professional Soccer Players and Relationship with Non-Contact Injury of Lower Limb in the Season,0.2095065618891678
2,A common neural signature of brain injury in concussion and subconcussion,0.1985682745741084
3,SESAMOID INJURIES IN PEDIATRIC AND ADOLESCENT ATHLETES PRESENTING TO SPORTS MEDICINE CLINIC,1.0685979521600626
3,INCIDENCE OF MUSCULOSKELETAL INJURIES IN SOCCER REFEREES: A THREE-YEAR STUDY,0.7948594120191192
3,The Effects of Lower-Extremity Plyometric Training on Soccer-Specific Outcomes in Adult Male Soccer Players: A Systematic Review and Meta-Analysis,0.7435397861603923
3,Pre-Season Bilateral Strength Asymmetries of Professional Soccer Players and Relationship with Non-Contact Injury of Lower Limb in the Season,0.6877321473406091
3,Anterior Cruciate Ligament Injury Risk by Season Period and Competition Segment: An Analysis of National Collegiate Athletic Association Injury Surveillance Data,0.5425521998172324
3,Core-Muscle Training and Neuromuscular Control of the Lower Limb and Trunk,0.44515735905306303
3,"Peer Review #2 of ""Changes in sprint performance and sagittal plane kinematics after heavy resisted sprint training in professional soccer players (v0.2)""",0.4105995577518635
3,The effect of sports shoes on flat foot,0.402403197861642
3,Incidence of Knee Injuries on Artificial Turf Versus Natural Grass in National Collegiate Athletic Association American Football: 2004-2005 Through 2013-2014 Seasons,0.39277209577146077
3,SPRINT PERFORMANCE IN FOOTBALL (SOCCER) PLAYERS WITH AND WITHOUT A PREVIOUS HAMSTRING STRAIN INJURY: AN EXPLORATIVE CROSS-SECTIONAL STUDY,0.39261939664741075
4,A Novel Approach to Evaluate Brain Activation for Lower Extremity Motor Control,0.9046368570879637
4,Introducing an Activity-Based Balance Index for Soccer Players: A Validity and Reliability Study,0.8175703725347931
4,Kinematics observed during ACL injury are associated with large early peak knee abduction moments during a change of direction task in healthy adolescents,0.7985183875136495
4,Effect of FIFA 11+ Training Program on Soccer-Specific Physical Performance and Functional Movement in Collegiate Male Soccer Players: A Randomized Controlled Trial,0.774943462703987
4,Effects of Shock Pad and Synthetic Turf on Ankle Biomechanics in a 90° Cutting Movement,0.774943462703987
4,"Case Study: Muscle Atrophy, Hypertrophy, and Energy Expenditure of a Premier League Soccer Player During Rehabilitation From Anterior Cruciate Ligament Injury",0.7063555792060517
